graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,6,7,30.190119055277467,271.6986481161669,"{'footway': 6, None: 1}","[(674220.741964444, 3546325.3162996755), (674217.4801147952, 3546295.3029089067)]"
2,6,5,11.317641853261932,389.26030184767944,"{'footway': 1, None: 4}","[(672271.9069359059, 3549326.441329732), (672282.2314170375, 3549331.077503422)]"
3,6,5,16.878573972276506,234.9573473332186,"{'tertiary': 1, 'footway': 1, None: 3}","[(666344.8132165447, 3547919.8691129005), (666341.7203385807, 3547936.461893416)]"
4,6,5,38.75238808080175,178.42215315995543,"{'footway': 3, None: 2}","[(668948.7780202078, 3548082.307070903), (668987.5279640203, 3548081.871827875)]"
5,4,3,8.740490203119776,97.07075382912689,"{None: 2, 'footway': 1}","[(666616.0096101081, 3549008.0968003147), (666621.7941580018, 3549001.544306541)]"
6,7,7,9.38348359369066,763.306200387429,"{'footway': 2, None: 5}","[(664760.9393748879, 3547616.648512451), (664768.4126728887, 3547622.322979945)]"
7,7,6,40.46190440785548,447.3845077559179,"{None: 3, 'footway': 3}","[(668349.1992346441, 3543340.565612819), (668338.4988027068, 3543301.5442537363)]"
8,6,6,37.209426089070256,313.58880482014365,"{'footway': 4, None: 2}","[(665825.29191123, 3545720.674460039), (665819.2577002394, 3545683.9575744467)]"
9,6,5,10.790401991525211,199.28860564950344,{'footway': 5},"[(675652.5995278914, 3546503.7029477833), (675661.2132065569, 3546497.203923627)]"
10,7,7,38.47823895680839,385.02486807286135,"{'footway': 3, None: 4}","[(666360.9974061552, 3546678.5079703336), (666354.049236025, 3546640.6622598097)]"
11,7,7,64.14230277576323,395.5017907327212,"{'footway': 4, None: 3}","[(665034.4719831662, 3545235.9240543903), (665005.1617926689, 3545178.870152347)]"
12,5,5,27.503121475379846,224.61213589907686,"{None: 3, 'footway': 2}","[(668465.9062769657, 3544362.3043440604), (668488.3292507681, 3544378.2301701535)]"
13,4,3,33.145493972732986,134.1970427313335,"{'footway': 2, None: 1}","[(667022.6031704228, 3550506.358349289), (667055.6307627291, 3550509.151540501)]"
14,7,6,6.724153424271884,136.0712134902735,"{'footway': 5, None: 1}","[(674701.291058076, 3548262.4671671856), (674702.1286609813, 3548269.1389481057)]"
15,5,4,28.694229314962712,104.61641142508404,{'footway': 4},"[(671284.56456208, 3545993.2896005856), (671300.1199425306, 3545969.1775924773)]"
16,7,10,156.73759150906074,1000.8015772643469,"{'footway': 4, None: 6}","[(671141.7776354973, 3546434.3128891224), (671134.016888535, 3546277.7675493686)]"
17,5,5,19.20634696362324,135.50115199084803,"{'footway': 4, None: 1}","[(671464.803407968, 3545855.783653211), (671483.7787095198, 3545852.8135194248)]"
18,6,6,48.69712130948327,365.42293756836534,"{None: 4, 'footway': 2}","[(665975.500656062, 3545607.832723523), (665929.858716738, 3545624.8098551584)]"
19,6,5,70.73650966174296,155.2879782045148,"{None: 3, 'footway': 2}","[(663426.5922521788, 3547412.906137831), (663497.2960133918, 3547415.0583342584)]"
20,6,5,20.04070336638745,364.2626897723816,"{'footway': 1, None: 4}","[(668978.2706009096, 3544192.5227234694), (668997.2864758892, 3544186.196090069)]"
21,4,3,58.595363812080215,105.74041102145642,"{None: 1, 'tertiary': 1, 'footway': 1}","[(669923.3536366655, 3551156.0667125327), (669974.8724883464, 3551128.1521181106)]"
22,5,4,31.115309976972075,69.44416452993364,"{None: 3, 'footway': 1}","[(664410.3234630849, 3551604.391293), (664418.317275168, 3551634.4622338456)]"
23,6,7,9.5163551398667,254.7946244470416,"{'tertiary': 3, None: 3, 'footway': 1}","[(667391.2300145812, 3548141.967133347), (667400.6608676701, 3548143.2399354386)]"
24,6,5,11.769679634605957,934.9013076072139,"{None: 4, 'footway': 1}","[(661090.5921892903, 3544651.2412655125), (661101.0502900601, 3544645.8418686027)]"
25,7,7,14.867099012022113,276.89215683966756,"{'secondary': 1, None: 4, 'footway': 2}","[(668997.3094113194, 3551588.7168680034), (669005.6014727924, 3551601.0567362993)]"
26,5,5,26.354815528119502,163.1811855733361,"{None: 3, 'footway': 2}","[(664149.3816336757, 3551876.625908419), (664143.1846423098, 3551851.010022732)]"
27,6,6,52.56728071110263,186.33747396689176,"{'footway': 4, None: 2}","[(669236.8723567924, 3551892.2941797907), (669282.6743986094, 3551866.4970488115)]"
28,6,6,37.08080933820658,242.72892050101422,"{None: 2, 'tertiary': 2, 'footway': 2}","[(667822.1097536464, 3542201.958799009), (667797.9767238533, 3542173.8059431296)]"
29,7,7,17.940527533229798,182.42005743303372,"{'footway': 5, None: 2}","[(664306.0675411681, 3552105.335221722), (664323.9555867774, 3552106.7064811606)]"
30,7,7,75.26372853422447,319.1392731203245,"{'footway': 6, 'tertiary': 1}","[(671561.9948911505, 3545873.1330025923), (671487.1031193314, 3545880.6063784473)]"
