graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,8,7,9.500129893914629e-05,0.0007991503804662828,{'footway': 7},"[(118.83031794, 32.08020773), (118.83040812, 32.08017785)]"
2,8,7,0.0004328632125720744,0.0009805397942984249,{'footway': 7},"[(118.84081302, 32.04829994), (118.84109364, 32.04797036)]"
3,15,14,0.00021102518617561973,0.0024153386531543435,"{'footway': 7, 'tertiary': 7}","[(118.79172936, 32.09155016), (118.79193942, 32.09157032)]"
4,16,16,0.00042595448818516664,0.004316076732363225,"{'footway': 13, 'secondary': 3}","[(118.76275764, 32.04327461), (118.76268762, 32.04369477)]"
5,25,28,0.00013167848912794912,0.003091526135974357,{'footway': 28},"[(118.78384806, 31.94249256), (118.78371792, 31.94247249)]"
6,10,9,0.00013915481486330452,0.0020474678248169047,{'footway': 9},"[(118.83187422, 32.05534559), (118.83194442, 32.05546574)]"
7,9,8,0.00020625427801334998,0.002160868482629958,{'footway': 8},"[(118.61720874, 32.06430648), (118.61707878, 32.06446664)]"
8,10,9,9.233665577742064e-05,0.0006219007889510458,{'footway': 9},"[(118.856916, 32.04240714), (118.85700618, 32.0423873)]"
9,8,7,8.610346391996974e-05,0.0005764491595646542,{'footway': 7},"[(118.8549198, 32.05751661), (118.85496984, 32.05758668)]"
10,8,7,0.00011410086984590771,0.0007918370272518745,{'footway': 7},"[(118.7902827, 32.06267321), (118.79031276, 32.06278328)]"
11,10,9,0.00017692937912875068,0.0022541356217069685,{'footway': 9},"[(118.75750614, 32.05151586), (118.75738608, 32.05164582)]"
12,9,9,7.07164082766051e-05,0.0010577906241313383,{'footway': 9},"[(118.83618504, 32.03285832), (118.83617514, 32.03292834)]"
13,21,27,0.0003834155604614666,0.012083173707309849,"{'footway': 23, 'tertiary': 4}","[(118.86221502, 32.04112487), (118.86250536, 32.04137529)]"
14,8,7,5.998999999690113e-05,0.0005173330192736345,{'footway': 7},"[(118.81091592, 32.03101431), (118.81091592, 32.0310743)]"
15,8,7,0.00010840506446017155,0.000493602902646721,{'footway': 7},"[(118.83671136, 32.07332768), (118.83680154, 32.07338784)]"
16,24,26,6.012014055260906e-05,0.003762127154003148,"{'tertiary': 4, 'footway': 22}","[(118.84045338, 32.0374769), (118.8405135, 32.03747703)]"
